               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11856,            0.068945,            0.085155,           0.0020448,           0.0041667,          0.00026448,          2.6448e-05,             0.12008,            0.054513,            0.086386,               4e-05,               4e-05,             0.09964
                   1,              0.1174,             0.05954,            0.086613,           0.0020986,           0.0041667,          0.00026247,          2.6247e-05,             0.11958,            0.054443,            0.086131,          8.9681e-05,          8.9681e-05,             0.09919
                   2,             0.11907,            0.059918,            0.086615,                   0,                   0,                   0,                   0,              0.1191,            0.054322,            0.085897,          0.00013802,          0.00013802,            0.098738
                   3,             0.11861,            0.060792,            0.084775,                   0,                   0,                   0,                   0,              0.1186,            0.054153,            0.085565,            0.000184,            0.000184,            0.098284
                   4,             0.11869,            0.052041,            0.083353,                   0,                   0,                   0,                   0,             0.11797,            0.054124,             0.08523,          0.00022664,          0.00022664,            0.097827
                   5,             0.11515,            0.065591,            0.085351,           0.0035582,               0.004,          0.00030729,          3.0729e-05,             0.11733,            0.054076,            0.084938,          0.00026508,          0.00026508,            0.097365
                   6,             0.11535,            0.058971,            0.085307,           0.0026397,               0.004,          0.00030783,          6.1566e-05,             0.11681,            0.054052,            0.084674,          0.00029853,          0.00029853,            0.096899
                   7,             0.11652,            0.052166,            0.084842,            0.002869,               0.004,          0.00028997,          5.7993e-05,             0.11627,            0.054109,            0.084361,          0.00032637,          0.00032637,            0.096426
                   8,             0.11545,            0.072502,            0.084609,           0.0030166,               0.004,          0.00027614,          5.5228e-05,             0.11583,            0.054148,            0.084107,          0.00034809,          0.00034809,            0.095948
                   9,               0.114,            0.076314,            0.084225,            0.001812,               0.004,           0.0002462,          7.3859e-05,             0.11523,            0.054149,            0.083754,          0.00036338,          0.00036338,            0.095463
                  10,             0.11458,            0.075396,            0.085426,           0.0018012,               0.004,          0.00021742,          2.1742e-05,             0.11475,            0.054205,            0.083522,          0.00037209,          0.00037209,            0.094972
                  11,             0.11181,             0.07277,            0.083024,                   0,                   0,                   0,                   0,             0.11396,            0.054439,            0.083207,          0.00037425,          0.00037425,            0.094474
                  12,             0.11306,             0.06338,            0.082703,                   0,                   0,                   0,                   0,             0.11347,            0.054604,            0.082934,          0.00037008,          0.00037008,             0.09397
                  13,             0.11424,            0.067883,            0.082603,             0.33254,           0.0041667,           0.0018441,          0.00021649,             0.11283,            0.054772,            0.082589,             0.00036,             0.00036,             0.09346
                  14,             0.11111,            0.060918,            0.082367,             0.43287,           0.0041667,           0.0016837,          0.00016837,             0.11241,            0.054851,            0.082339,           0.0003446,           0.0003446,            0.092945
                  15,             0.11311,            0.066637,            0.083368,           0.0072393,           0.0083333,            0.002179,           0.0002179,             0.11177,            0.055018,            0.082048,          0.00032464,          0.00032464,            0.092425
                  16,             0.11086,            0.063601,            0.082051,             0.33243,           0.0041667,           0.0024932,          0.00024932,             0.11127,            0.055235,            0.081825,          0.00030106,          0.00030106,            0.091901
                  17,             0.10939,            0.068915,            0.081421,             0.33199,           0.0041667,           0.0024771,          0.00024771,             0.11076,            0.055358,            0.081555,           0.0002749,           0.0002749,            0.091375
                  18,             0.10827,            0.054705,            0.081154,               0.433,           0.0041667,           0.0025882,          0.00027279,             0.11053,            0.055351,            0.081368,          0.00024737,          0.00024737,            0.090847
                  19,             0.10821,            0.063772,            0.081786,             0.43304,           0.0041667,           0.0025585,          0.00043794,             0.11007,            0.055504,             0.08113,          0.00021974,          0.00021974,             0.09032
                  20,              0.1108,            0.073999,            0.082426,           0.0053832,            0.012333,           0.0025538,          0.00043748,             0.10992,            0.055559,            0.081027,          0.00019338,          0.00019338,            0.089793
                  21,             0.10719,            0.068722,            0.080599,           0.0061451,            0.012333,            0.003336,          0.00059137,             0.10953,            0.055737,             0.08084,          0.00016967,          0.00016967,             0.08927
                  22,             0.10925,            0.058081,            0.080982,           0.0060168,            0.012333,           0.0033152,          0.00060791,             0.10931,            0.055757,            0.080682,          0.00015002,          0.00015002,             0.08875
                  23,             0.11092,            0.082835,             0.08132,           0.0065904,            0.012333,           0.0033089,          0.00060694,             0.10916,            0.055848,            0.080554,          0.00013582,          0.00013582,            0.088236
                  24,             0.10983,            0.078482,             0.08228,           0.0071616,            0.012333,           0.0038473,          0.00066091,             0.10897,             0.05589,            0.080414,           0.0001284,           0.0001284,            0.087728
